팀명,경기날짜,결과,이름,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,포지션,득점점유율,스타팅멤버
대한항공,2018-10-13,0,정지석,14,21,12,0,4,57.14,24.71,8,2,0,3,25.0,22.86,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,5,5,0,0,100.0,23.81,0,0,0,0,0.0,0.0,8,5,0,1,62.5,38.1,11,0,4,0.0,16.67,3,1,2,0,0.33,7.32,11,3,0,1.0,12.5,30,19,1,60.0,46.15,5,2,1,2,0,0.67,15.15,1,0,8,L,0.4117647058823529,1
대한항공,2018-10-13,0,곽승석,10,19,9,2,3,47.37,22.35,10,5,0,2,50.0,28.57,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,1,0,1,50.0,9.52,0,0,0,0,0.0,0.0,7,3,2,0,42.86,33.33,11,0,1,0.0,16.67,9,7,2,0,2.33,21.95,3,1,0,0.33,3.41,12,2,3,0.0,18.46,4,1,0,3,0,0.33,12.12,1,0,4,L,0.29411764705882354,1
대한항공,2018-10-13,0,진성태,5,3,2,0,1,66.67,3.53,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,2,0,1,66.67,37.5,0,0,0,0,0.0,0.0,7,0,0,0.0,10.61,3,3,0,0,1.0,7.32,0,0,0,0.0,0.0,0,0,0,0.0,0.0,9,3,2,4,0,1.0,27.27,2,0,1,C,0.14705882352941177,1
대한항공,2018-10-13,0,김규민,4,5,3,0,0,60.0,5.88,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,5,3,0,0,60.0,62.5,0,0,0,0,0.0,0.0,12,0,0,0.0,18.18,2,2,0,0,0.67,4.88,2,0,0,0.0,2.27,1,0,0,0.0,1.54,4,1,0,2,0,0.33,12.12,2,0,0,C,0.11764705882352941,1
대한항공,2018-10-13,0,한선수,1,1,0,0,0,0.0,1.18,1,0,0,0,0.0,2.86,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,10,0,1,0.0,15.15,5,4,1,0,1.33,12.2,58,27,0,9.0,65.91,2,0,0,0.0,3.08,6,1,0,4,0,0.33,18.18,1,0,1,S,0.029411764705882353,1
대한항공,2018-10-13,0,정성민,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,12,10,2,0,3.33,29.27,2,1,0,0.33,2.27,19,9,2,36.84,29.23,0,0,0,0,0,0.0,0.0,0,0,0,Li,0.0,0
현대캐피탈,2018-10-13,1,파다르,26,31,19,5,1,61.29,40.26,15,7,2,1,46.67,55.56,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,11,8,3,0,72.73,78.57,0,0,0,0,0.0,0.0,5,4,0,0,80.0,22.73,18,6,3,2.0,24.66,8,6,2,0,2.0,20.0,6,2,0,0.67,7.5,0,0,0,0.0,0.0,5,1,0,3,0,0.33,12.5,0,0,4,R,0.48148148148148145,1
현대캐피탈,2018-10-13,1,전광인,9,15,9,1,1,60.0,19.48,5,2,1,0,40.0,18.52,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,1,0,1,33.33,21.43,0,0,0,0,0.0,0.0,7,6,0,0,85.71,31.82,11,0,2,0.0,15.07,10,7,3,0,2.33,25.0,4,0,1,0.0,5.0,20,9,0,45.0,35.71,4,0,2,0,0,0.0,10.0,0,0,4,L,0.16666666666666666,1
현대캐피탈,2018-10-13,1,박주형,8,10,8,1,0,80.0,12.99,4,2,1,0,50.0,14.81,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,6,6,0,0,100.0,27.27,11,0,1,0.0,15.07,4,4,0,0,1.33,10.0,1,0,0,0.0,1.25,9,2,0,22.22,16.07,7,0,3,3,0,0.0,17.5,0,0,1,L,0.14814814814814814,0
현대캐피탈,2018-10-13,1,신영석,6,10,5,0,1,50.0,12.99,2,1,0,0,50.0,7.41,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,8,4,0,1,50.0,57.14,0,0,0,0,0.0,0.0,8,0,0,0.0,10.96,4,4,0,0,1.33,10.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,8,1,2,3,1,0.33,20.0,1,0,2,C,0.1111111111111111,1
