팀명,경기날짜,결과,이름,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,포지션,득점점유율,스타팅멤버
현대캐피탈,2019-10-12,0,에르난데스,22,33,19,4,2,57.58,32.67,18,9,1,1,50.0,40.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,8,5,2,1,62.5,36.36,0,0,0,0,0.0,0.0,7,5,1,0,71.43,38.89,19,3,8,0.75,20.21,8,7,1,0,1.75,17.78,4,1,0,0.25,3.96,24,8,1,29.17,32.0,5,0,0,3,0,0.0,10.0,0,0,10,L,0.3548387096774194,1
현대캐피탈,2019-10-12,0,문성민,16,24,13,2,1,54.17,23.76,11,5,1,1,45.45,24.44,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,11,7,0,0,63.64,50.0,0,0,0,0,0.0,0.0,2,1,1,0,50.0,11.11,17,3,1,0.75,18.09,9,7,2,0,1.75,20.0,3,0,0,0.0,2.97,2,1,1,0.0,2.67,5,0,0,3,0,0.0,10.0,1,0,2,R,0.25806451612903225,1
현대캐피탈,2019-10-12,0,전광인,13,23,12,2,1,52.17,22.77,13,6,1,1,46.15,28.89,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,0,0,0,0.0,9.09,0,0,0,0,0.0,0.0,8,6,1,0,75.0,44.44,8,0,5,0.0,8.51,4,4,0,0,1.0,8.89,6,2,0,0.5,5.94,18,5,1,22.22,24.0,7,1,3,3,0,0.25,14.0,0,0,6,L,0.20967741935483872,1
현대캐피탈,2019-10-12,0,신영석,5,10,4,1,0,40.0,9.9,1,1,0,0,100.0,2.22,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,9,3,1,0,33.33,56.25,0,0,0,0,0.0,0.0,17,0,1,0.0,18.09,1,1,0,0,0.25,2.22,3,0,0,0.0,2.97,4,3,0,75.0,5.33,18,1,4,6,0,0.25,36.0,0,0,1,C,0.08064516129032258,1
현대캐피탈,2019-10-12,0,최민호,4,7,3,0,0,42.86,6.93,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,7,3,0,0,42.86,43.75,0,0,0,0,0.0,0.0,12,0,3,0.0,12.77,5,3,2,0,0.75,11.11,2,1,0,0.25,1.98,2,1,0,50.0,2.67,8,1,0,3,1,0.25,16.0,1,0,4,C,0.06451612903225806,1
현대캐피탈,2019-10-12,0,황동일,2,1,1,0,0,100.0,0.99,1,1,0,0,100.0,2.22,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,10,0,1,0.0,10.64,5,5,0,0,1.67,11.11,39,23,0,7.67,38.61,0,0,0,0.0,0.0,4,1,0,2,0,0.33,8.0,0,0,1,S,0.03225806451612903,0
현대캐피탈,2019-10-12,0,박주형,0,3,0,0,0,0.0,2.97,1,0,0,0,0.0,2.22,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,0,0,0,0.0,4.55,0,0,0,0,0.0,0.0,1,0,0,0,0.0,5.56,1,0,0,0.0,1.06,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,100.0,1.33,1,0,0,1,0,0.0,2.0,0,0,0,L,0.0,0
현대캐피탈,2019-10-12,0,라광균,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,3,2,1,0,0.5,6.67,3,1,0,0.25,2.97,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,Li,0.0,0
현대캐피탈,2019-10-12,0,여오현,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,5,4,1,0,1.0,11.11,6,2,0,0.5,5.94,23,11,0,47.83,30.67,0,0,0,0,0,0.0,0.0,0,0,0,Li,0.0,0
현대캐피탈,2019-10-12,0,이승원,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,0,1,0.0,3.19,4,3,1,0,0.75,8.89,22,13,0,3.25,21.78,0,0,0,0.0,0.0,1,0,0,0,0,0.0,2.0,0,0,1,S,0.0,1
현대캐피탈,2019-10-12,0,이시우,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,4,0,0,0.0,4.26,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,L,0.0,0
대한항공,2019-10-12,1,비예나,30,51,29,0,3,56.86,47.22,20,10,0,2,50.0,55.56,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,13,6,0,0,46.15,68.42,0,0,0,0,0.0,0.0,18,13,0,1,72.22,48.65,16,0,6,0.0,17.02,12,9,3,0,2.25,20.0,1,0,0,0.0,0.94,0,0,0,0.0,0.0,10,1,0,5,1,0.25,17.86,2,0,10,R,0.43478260869565216,1
대한항공,2019-10-12,1,정지석,13,17,11,1,1,64.71,15.74,5,3,1,0,60.0,13.89,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,4,2,0,0,50.0,21.05,0,0,0,0,0.0,0.0,8,6,0,1,75.0,21.62,23,2,4,0.5,24.47,13,10,3,0,2.5,21.67,4,4,0,1.0,3.77,12,9,2,58.33,16.22,4,0,2,2,0,0.0,7.14,1,0,5,L,0.18840579710144928,1
대한항공,2019-10-12,1,곽승석,11,19,9,2,2,47.37,17.59,6,5,0,0,83.33,16.67,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,1,0,1,50.0,10.53,0,0,0,0,0.0,0.0,11,3,2,1,27.27,29.73,12,0,1,0.0,12.77,6,5,1,0,1.25,10.0,4,0,0,0.0,3.77,41,16,1,36.59,55.41,8,2,2,3,0,0.5,14.29,1,0,3,L,0.15942028985507245,1
대한항공,2019-10-12,1,진상헌,8,11,5,0,1,45.45,10.19,1,1,0,0,100.0,2.78,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,10,4,0,1,40.0,62.5,0,0,0,0,0.0,0.0,12,1,3,0.25,12.77,4,3,1,0,0.75,6.67,4,0,0,0.0,3.77,1,1,0,100.0,1.35,12,2,3,5,0,0.5,21.43,4,0,4,C,0.11594202898550725,1
대한항공,2019-10-12,1,김규민,6,7,4,0,1,57.14,6.48,1,0,0,0,0.0,2.78,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,6,4,0,1,66.67,37.5,0,0,0,0,0.0,0.0,13,0,2,0.0,13.83,3,2,1,0,0.5,5.0,3,1,0,0.25,2.83,0,0,0,0.0,0.0,16,2,3,8,1,0.5,28.57,1,0,4,C,0.08695652173913043,1
대한항공,2019-10-12,1,한선수,1,1,0,0,0,0.0,0.93,1,0,0,0,0.0,2.78,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,12,0,2,0.0,12.77,10,8,2,0,2.0,16.67,80,46,0,11.5,75.47,1,0,0,0.0,1.35,3,1,0,2,0,0.25,5.36,0,0,2,S,0.014492753623188406,1
대한항공,2019-10-12,1,임동혁,0,2,0,1,1,0.0,1.85,2,0,1,1,0.0,5.56,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,0,1,0.0,2.13,0,0,0,0,0.0,0.0,1,1,0,0.33,0.94,0,0,0,0.0,0.0,2,0,0,1,1,0.0,3.57,0,0,3,R,0.0,0
대한항공,2019-10-12,1,유광우,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,4,0,0,0.0,4.26,3,2,1,0,0.5,5.0,4,2,0,0.5,3.77,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,S,0.0,0
대한항공,2019-10-12,1,정성민,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,9,8,1,0,2.0,15.0,5,2,0,0.5,4.72,17,5,3,11.76,22.97,0,0,0,0,0,0.0,0.0,0,0,0,Li,0.0,0
삼성화재,2019-10-13,0,박철우,20,39,19,3,6,48.72,45.88,12,6,1,1,50.0,42.86,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,18,10,1,3,55.56,85.71,0,0,0,0,0.0,0.0,9,3,1,2,33.33,40.91,8,0,4,0.0,14.81,5,2,3,0,0.67,12.82,1,0,0,0.0,1.15,0,0,0,0.0,0.0,8,1,3,1,0,0.33,19.51,1,0,10,R,0.47619047619047616,1
삼성화재,2019-10-13,0,지태환,8,9,5,0,0,55.56,10.59,1,1,0,0,100.0,3.57,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,8,4,0,0,50.0,57.14,0,0,0,0,0.0,0.0,5,0,1,0.0,9.26,2,2,0,0,0.67,5.13,2,2,0,0.67,2.3,0,0,0,0.0,0.0,15,3,2,6,0,1.0,36.59,2,0,1,C,0.19047619047619047,1
