"행정구역","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_0세","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_0세","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_0세"
"서울특별시 구로구 오류제2동(1153078000)","38,270","156","156","18,358","93","93","19,912","63","63"
"서울특별시 구로구 수궁동(1153079000)","23,233","108","108","11,426","58","58","11,807","50","50"
"서울특별시 구로구 항동(1153080000)","16,459","174","174","8,027","82","82","8,432","92","92"
"서울특별시 금천구 (1154500000)","231,356","916","916","116,653","487","487","114,703","429","429"
"서울특별시 금천구 가산동(1154551000)","24,239","73","73","13,075","42","42","11,164","31","31"
"서울특별시 금천구 독산제1동(1154561000)","45,834","292","292","23,444","159","159","22,390","133","133"
"서울특별시 금천구 독산제2동(1154562000)","18,500","57","57","9,343","33","33","9,157","24","24"
"서울특별시 금천구 독산제3동(1154563000)","24,278","78","78","12,163","35","35","12,115","43","43"
"서울특별시 금천구 독산제4동(1154564000)","15,027","45","45","7,560","22","22","7,467","23","23"
"서울특별시 금천구 시흥제1동(1154567000)","32,726","126","126","16,242","63","63","16,484","63","63"
"서울특별시 금천구 시흥제2동(1154568000)","20,865","73","73","9,984","41","41","10,881","32","32"
"서울특별시 금천구 시흥제3동(1154569000)","10,723","37","37","5,302","21","21","5,421","16","16"
"서울특별시 금천구 시흥제4동(1154570000)","20,251","63","63","10,032","31","31","10,219","32","32"
"서울특별시 금천구 시흥제5동(1154571000)","18,913","72","72","9,508","40","40","9,405","32","32"
"서울특별시 영등포구 (1156000000)","377,295","2,158","2,158","185,754","1,119","1,119","191,541","1,039","1,039"
"서울특별시 영등포구 영등포본동(1156051500)","21,227","105","105","10,886","57","57","10,341","48","48"
"서울특별시 영등포구 영등포동(1156053500)","29,673","154","154","15,391","80","80","14,282","74","74"
"서울특별시 영등포구 여의동(1156054000)","32,776","160","160","15,390","81","81","17,386","79","79"
"서울특별시 영등포구 당산제1동(1156055000)","20,448","119","119","9,976","53","53","10,472","66","66"
"서울특별시 영등포구 당산제2동(1156056000)","37,546","232","232","17,557","123","123","19,989","109","109"
"서울특별시 영등포구 도림동(1156058500)","17,801","90","90","8,992","39","39","8,809","51","51"
"서울특별시 영등포구 문래동(1156060500)","32,432","247","247","15,845","131","131","16,587","116","116"
"서울특별시 영등포구 양평제1동(1156061000)","18,403","175","175","8,977","86","86","9,426","89","89"
"서울특별시 영등포구 양평제2동(1156062000)","22,394","167","167","10,963","97","97","11,431","70","70"
"서울특별시 영등포구 신길제1동(1156063000)","18,388","62","62","9,337","28","28","9,051","34","34"
"서울특별시 영등포구 신길제3동(1156065000)","16,458","98","98","8,120","56","56","8,338","42","42"
"서울특별시 영등포구 신길제4동(1156066000)","12,340","67","67","6,118","40","40","6,222","27","27"
"서울특별시 영등포구 신길제5동(1156067000)","10,326","49","49","5,030","27","27","5,296","22","22"
"서울특별시 영등포구 신길제6동(1156068000)","19,057","93","93","9,343","53","53","9,714","40","40"
"서울특별시 영등포구 신길제7동(1156069000)","19,829","148","148","9,889","78","78","9,940","70","70"
"서울특별시 영등포구 대림제1동(1156070000)","14,246","48","48","7,079","26","26","7,167","22","22"
"서울특별시 영등포구 대림제2동(1156071000)","11,868","24","24","5,850","12","12","6,018","12","12"
"서울특별시 영등포구 대림제3동(1156072000)","22,083","120","120","11,011","52","52","11,072","68","68"
"서울특별시 동작구 (1159000000)","385,379","1,651","1,651","186,268","834","834","199,111","817","817"
"서울특별시 동작구 노량진제1동(1159051000)","31,962","157","157","16,100","77","77","15,862","80","80"
"서울특별시 동작구 노량진제2동(1159052000)","10,633","18","18","5,498","7","7","5,135","11","11"
"서울특별시 동작구 상도제1동(1159053000)","44,459","140","140","21,566","72","72","22,893","68","68"
"서울특별시 동작구 상도제2동(1159054000)","27,832","153","153","13,320","68","68","14,512","85","85"
"서울특별시 동작구 상도제3동(1159055000)","24,342","77","77","11,579","34","34","12,763","43","43"
"서울특별시 동작구 상도제4동(1159056000)","28,439","121","121","13,815","56","56","14,624","65","65"
"서울특별시 동작구 흑석동(1159060500)","30,748","143","143","14,937","72","72","15,811","71","71"
"서울특별시 동작구 사당제1동(1159062000)","22,746","60","60","10,870","33","33","11,876","27","27"
"서울특별시 동작구 사당제2동(1159063000)","28,525","178","178","13,683","90","90","14,842","88","88"
"서울특별시 동작구 사당제3동(1159064000)","24,129","127","127","11,704","70","70","12,425","57","57"
"서울특별시 동작구 사당제4동(1159065000)","14,114","50","50","6,723","28","28","7,391","22","22"
"서울특별시 동작구 사당제5동(1159065100)","14,341","97","97","6,860","44","44","7,481","53","53"
"서울특별시 동작구 대방동(1159066000)","37,599","115","115","17,813","64","64","19,786","51","51"
"서울특별시 동작구 신대방제1동(1159067000)","23,249","95","95","11,118","56","56","12,131","39","39"
"서울특별시 동작구 신대방제2동(1159068000)","22,261","120","120","10,682","63","63","11,579","57","57"
"서울특별시 관악구 (1162000000)","487,629","1,470","1,470","245,176","790","790","242,453","680","680"
"서울특별시 관악구 보라매동(1162052500)","24,389","58","58","12,009","34","34","12,380","24","24"
"서울특별시 관악구 청림동(1162054500)","14,998","114","114","7,252","55","55","7,746","59","59"
"서울특별시 관악구 성현동(1162056500)","28,934","119","119","13,952","61","61","14,982","58","58"
"서울특별시 관악구 행운동(1162057500)","29,229","78","78","14,146","38","38","15,083","40","40"
"서울특별시 관악구 낙성대동(1162058500)","17,398","36","36","8,765","24","24","8,633","12","12"
"서울특별시 관악구 청룡동(1162059500)","36,006","111","111","17,390","52","52","18,616","59","59"
"서울특별시 관악구 은천동(1162060500)","32,917","152","152","16,046","81","81","16,871","71","71"
"서울특별시 관악구 중앙동(1162061500)","15,380","37","37","7,417","14","14","7,963","23","23"
"서울특별시 관악구 인헌동(1162062500)","25,890","78","78","12,586","42","42","13,304","36","36"
"서울특별시 관악구 남현동(1162063000)","18,111","77","77","8,741","39","39","9,370","38","38"
"서울특별시 관악구 서원동(1162064500)","22,963","61","61","11,997","38","38","10,966","23","23"
"서울특별시 관악구 신원동(1162065500)","17,993","43","43","9,129","24","24","8,864","19","19"
"서울특별시 관악구 서림동(1162066500)","23,330","57","57","12,920","38","38","10,410","19","19"
"서울특별시 관악구 신사동(1162068500)","22,891","45","45","11,492","23","23","11,399","22","22"
"서울특별시 관악구 신림동(1162069500)","23,178","44","44","12,254","32","32","10,924","12","12"
"서울특별시 관악구 난향동(1162071500)","15,133","51","51","7,403","30","30","7,730","21","21"
"서울특별시 관악구 조원동(1162072500)","17,500","48","48","8,756","27","27","8,744","21","21"
"서울특별시 관악구 대학동(1162073500)","23,707","43","43","14,386","27","27","9,321","16","16"
"서울특별시 관악구 삼성동(1162074500)","20,804","38","38","10,372","20","20","10,432","18","18"
"서울특별시 관악구 미성동(1162076500)","30,379","100","100","14,870","60","60","15,509","40","40"
"서울특별시 관악구 난곡동(1162077500)","26,499","80","80","13,293","31","31","13,206","49","49"
"서울특별시 서초구 (1165000000)","406,565","1,771","1,771","194,249","927","927","212,316","844","844"
"서울특별시 서초구 서초1동(1165051000)","20,635","87","87","9,971","43","43","10,664","44","44"
"서울특별시 서초구 서초2동(1165052000)","26,592","146","146","12,662","76","76","13,930","70","70"
"서울특별시 서초구 서초3동(1165053000)","32,133","145","145","15,306","63","63","16,827","82","82"
"서울특별시 서초구 서초4동(1165053100)","30,626","99","99","14,962","44","44","15,664","55","55"
"서울특별시 서초구 잠원동(1165054000)","26,552","101","101","12,783","53","53","13,769","48","48"
"서울특별시 서초구 반포본동(1165055000)","303","1","1","145","1","1","158","0","0"
"서울특별시 서초구 반포1동(1165056000)","34,296","121","121","16,699","66","66","17,597","55","55"
"서울특별시 서초구 반포2동(1165057000)","15,726","43","43","7,477","19","19","8,249","24","24"
"서울특별시 서초구 반포3동(1165058000)","21,675","106","106","10,312","57","57","11,363","49","49"
"서울특별시 서초구 반포4동(1165058100)","19,033","91","91","8,937","50","50","10,096","41","41"
"서울특별시 서초구 방배본동(1165059000)","20,639","54","54","9,537","32","32","11,102","22","22"
"서울특별시 서초구 방배1동(1165060000)","16,858","81","81","7,913","45","45","8,945","36","36"
"서울특별시 서초구 방배2동(1165061000)","18,478","91","91","8,632","52","52","9,846","39","39"
"서울특별시 서초구 방배3동(1165062000)","17,839","96","96","8,600","39","39","9,239","57","57"
"서울특별시 서초구 방배4동(1165062100)","23,259","108","108","10,587","62","62","12,672","46","46"
"서울특별시 서초구 양재1동(1165065100)","42,673","201","201","20,374","108","108","22,299","93","93"
"서울특별시 서초구 양재2동(1165065200)","21,705","107","107","10,871","62","62","10,834","45","45"
"서울특별시 서초구 내곡동(1165066000)","17,543","93","93","8,481","55","55","9,062","38","38"
"서울특별시 강남구 (1168000000)","532,500","1,926","1,926","254,730","992","992","277,770","934","934"
"서울특별시 강남구 신사동(1168051000)","15,824","45","45","7,350","17","17","8,474","28","28"
"서울특별시 강남구 논현1동(1168052100)","21,715","54","54","10,210","31","31","11,505","23","23"
"서울특별시 강남구 논현2동(1168053100)","20,735","73","73","9,684","41","41","11,051","32","32"
"서울특별시 강남구 압구정동(1168054500)","26,010","113","113","12,020","61","61","13,990","52","52"
"서울특별시 강남구 청담동(1168056500)","25,472","120","120","11,890","69","69","13,582","51","51"
"서울특별시 강남구 삼성1동(1168058000)","12,719","54","54","6,247","25","25","6,472","29","29"
