,결과,득점_득점,공격종합성공률,후위성공률,퀵오픈성공률,서브성공률,디그성공률,세트성공률,리시브성공률,블로킹성공률,팀명_GS칼텍스,팀명_IBK기업은행,팀명_KGC인삼공사,팀명_페퍼저축은행,팀명_한국도로공사,팀명_현대건설,팀명_흥국생명,상대팀_GS칼텍스,상대팀_IBK기업은행,상대팀_KGC인삼공사,상대팀_페퍼저축은행,상대팀_한국도로공사,상대팀_현대건설,상대팀_흥국생명
0,1,88,0.41379310344827586,0.4444444444444444,0.4230769230769231,0.08256880733944955,0.8392857142857143,0.3743016759776536,0.44329896907216493,0.09722222222222222,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,83,0.422360248447205,0.5925925925925926,0.5510204081632653,0.09615384615384616,0.7894736842105263,0.4024390243902439,0.42105263157894735,0.0847457627118644,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0,39,0.358695652173913,0.45,0.3,0.046511627906976744,0.8113207547169812,0.32407407407407407,0.6666666666666666,0.18181818181818182,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,0,47,0.4019607843137255,0.5333333333333333,0.5172413793103449,0.0784313725490196,0.8813559322033898,0.40594059405940597,0.3898305084745763,0.058823529411764705,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4,1,85,0.45806451612903226,0.4,0.6190476190476191,0.018518518518518517,0.8163265306122449,0.42138364779874216,0.4673913043478261,0.18181818181818182,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1,88,0.3945945945945946,0.40625,0.4444444444444444,0.027777777777777776,0.8346456692913385,0.37305699481865284,0.4375,0.17647058823529413,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6,0,54,0.3879310344827586,0.2916666666666667,0.42857142857142855,0.01694915254237288,0.8235294117647058,0.36666666666666664,0.5151515151515151,0.13793103448275862,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1,83,0.4311377245508982,0.38235294117647056,0.5862068965517241,0.02702702702702703,0.8155339805825242,0.40963855421686746,0.43434343434343436,0.0963855421686747,1,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0,59,0.3475177304964539,0.2,0.3783783783783784,0.075,0.8235294117647058,0.3356643356643357,0.44155844155844154,0.07547169811320754,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9,1,64,0.43478260869565216,0.4,0.5,0.05555555555555555,0.9342105263157895,0.4188034188034188,0.5,0.15151515151515152,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10,0,45,0.43617021276595747,0.26666666666666666,0.5925925925925926,0.05,0.8,0.40186915887850466,0.3469387755102041,0.06060606060606061,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11,0,40,0.3333333333333333,0.2777777777777778,0.47368421052631576,0.05714285714285714,0.9574468085106383,0.25,0.5434782608695652,0.10344827586206896,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12,1,59,0.494949494949495,0.3888888888888889,0.3888888888888889,0.06451612903225806,0.9428571428571428,0.44086021505376344,0.4358974358974359,0.13043478260869565,1,0,0,0,0,0,0,0,0,1,0,0,0,0
13,0,41,0.40476190476190477,0.36363636363636365,0.5652173913043478,0.0392156862745098,0.8163265306122449,0.4090909090909091,0.2553191489361702,0.11904761904761904,1,0,0,0,0,0,0,0,1,0,0,0,0,0
14,0,75,0.3815028901734104,0.41025641025641024,0.4166666666666667,0.04081632653061224,0.9159663865546218,0.34177215189873417,0.5280898876404494,0.07352941176470588,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,0,69,0.40298507462686567,0.47058823529411764,0.39473684210526316,0.047619047619047616,0.8674698795180723,0.3680555555555556,0.4880952380952381,0.16417910447761194,1,0,0,0,0,0,0,0,0,1,0,0,0,0
16,0,78,0.3701657458563536,0.34782608695652173,0.46153846153846156,0.03125,0.7923076923076923,0.35502958579881655,0.5333333333333333,0.11764705882352941,1,0,0,0,0,0,0,0,0,0,0,0,0,1
17,0,37,0.39285714285714285,0.47619047619047616,0.30434782608695654,0.06521739130434782,0.851063829787234,0.3333333333333333,0.45652173913043476,0.02702702702702703,1,0,0,0,0,0,0,0,1,0,0,0,0,0
18,0,88,0.42702702702702705,0.4074074074074074,0.6,0.028037383177570093,0.8157894736842105,0.390625,0.4107142857142857,0.0821917808219178,1,0,0,0,0,0,0,0,0,0,0,1,0,0
19,0,62,0.432,0.4782608695652174,0.4482758620689655,0.07352941176470588,0.7951807228915663,0.4,0.4305555555555556,0.07142857142857142,1,0,0,0,0,0,0,0,0,0,0,0,1,0
20,1,52,0.43478260869565216,0.4,0.5882352941176471,0.07575757575757576,0.7857142857142857,0.3157894736842105,0.5,0.16279069767441862,1,0,0,0,0,0,0,0,0,1,0,0,0,0
21,0,82,0.3544973544973545,0.16216216216216217,0.4722222222222222,0.0594059405940594,0.7969924812030075,0.32642487046632124,0.47474747474747475,0.10843373493975904,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22,1,73,0.378698224852071,0.36363636363636365,0.43478260869565216,0.061855670103092786,0.8818181818181818,0.36666666666666664,0.36904761904761907,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,1
23,0,82,0.3728813559322034,0.37037037037037035,0.4230769230769231,0.08,0.8333333333333334,0.36416184971098264,0.2916666666666667,0.1111111111111111,1,0,0,0,0,0,0,0,1,0,0,0,0,0
24,1,49,0.36036036036036034,0.3888888888888889,0.3548387096774194,0.014925373134328358,0.875,0.36,0.5,0.17777777777777778,1,0,0,0,0,0,0,0,0,0,0,0,1,0
25,1,88,0.4088397790055249,0.3611111111111111,0.4,0.038834951456310676,0.8059701492537313,0.3854166666666667,0.494949494949495,0.11627906976744186,1,0,0,0,0,0,0,0,0,0,0,0,1,0
26,1,57,0.43137254901960786,0.4090909090909091,0.52,0.056338028169014086,0.7974683544303798,0.41414141414141414,0.38181818181818183,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,1
27,1,74,0.4253731343283582,0.46875,0.5,0.07608695652173914,0.8041237113402062,0.39552238805970147,0.4142857142857143,0.14285714285714285,1,0,0,0,0,0,0,0,0,1,0,0,0,0
28,0,75,0.35947712418300654,0.25806451612903225,0.4878048780487805,0.09782608695652174,0.875,0.3167701863354037,0.42045454545454547,0.1746031746031746,1,0,0,0,0,0,0,0,1,0,0,0,0,0
29,1,50,0.4444444444444444,0.5625,0.4375,0.044444444444444446,0.85,0.35714285714285715,0.33962264150943394,0.21621621621621623,1,0,0,0,0,0,0,0,0,0,0,1,0,0
30,1,75,0.46218487394957986,0.3,0.48148148148148145,0.0963855421686747,0.8414634146341463,0.4015151515151515,0.38028169014084506,0.2608695652173913,1,0,0,0,0,0,0,0,0,0,0,0,1,0
31,1,64,0.4224137931034483,0.47368421052631576,0.5,0.0821917808219178,0.8292682926829268,0.37398373983739835,0.5862068965517241,0.16981132075471697,1,0,0,0,0,0,0,0,0,0,0,0,0,1
32,1,53,0.43529411764705883,0.18181818181818182,0.5238095238095238,0.1,0.8833333333333333,0.34831460674157305,0.3181818181818182,0.16363636363636364,1,0,0,0,0,0,0,0,0,0,0,1,0,0
33,0,54,0.366412213740458,0.4444444444444444,0.52,0.01639344262295082,0.7837837837837838,0.35074626865671643,0.4024390243902439,0.08196721311475409,1,0,0,0,0,0,0,0,0,0,0,1,0,0
34,1,83,0.3769633507853403,0.46153846153846156,0.3695652173913043,0.056074766355140186,0.8931297709923665,0.336734693877551,0.4731182795698925,0.05102040816326531,1,0,0,0,0,0,0,0,1,0,0,0,0,0
35,1,56,0.5432098765432098,0.75,0.42105263157894735,0.09375,0.7192982456140351,0.4939759036144578,0.42105263157894735,0.21428571428571427,1,0,0,0,0,0,0,0,0,1,0,0,0,0
36,0,92,0.4083769633507853,0.43478260869565216,0.4807692307692308,0.037037037037037035,0.8305084745762712,0.3717277486910995,0.4485981308411215,0.12987012987012986,1,0,0,0,0,0,0,0,0,0,0,0,0,1
37,0,74,0.3619631901840491,0.42857142857142855,0.4,0.052083333333333336,0.8,0.2994350282485876,0.37209302325581395,0.11904761904761904,1,0,0,0,0,0,0,0,0,0,0,1,0,0
38,1,81,0.4642857142857143,0.42857142857142855,0.5094339622641509,0.053763440860215055,0.8152173913043478,0.4189189189189189,0.4125,0.19642857142857142,1,0,0,0,0,0,0,0,0,1,0,0,0,0
39,1,51,0.42,0.5,0.64,0.08695652173913043,0.8421052631578947,0.37373737373737376,0.5869565217391305,0.06818181818181818,1,0,0,0,0,0,0,0,0,0,0,1,0,0
40,0,43,0.27049180327868855,0.22727272727272727,0.4230769230769231,0.043478260869565216,0.7916666666666666,0.27419354838709675,0.4057971014492754,0.17777777777777778,1,0,0,0,0,0,0,0,0,0,0,0,0,1
41,0,43,0.2773109243697479,0.25,0.20689655172413793,0.04,0.8356164383561644,0.2540983606557377,0.4057971014492754,0.1702127659574468,1,0,0,0,0,0,0,0,0,0,0,0,1,0
42,1,50,0.42424242424242425,0.16666666666666666,0.7307692307692307,0.02857142857142857,0.8088235294117647,0.37735849056603776,0.4444444444444444,0.13333333333333333,1,0,0,0,0,0,0,0,0,1,0,0,0,0
43,0,81,0.34615384615384615,0.3,0.4444444444444444,0.05102040816326531,0.8515625,0.31794871794871793,0.40625,0.18840579710144928,1,0,0,0,0,0,0,0,0,0,0,1,0,0
44,0,66,0.3469387755102041,0.4,0.4594594594594595,0.08536585365853659,0.801980198019802,0.2919254658385093,0.38372093023255816,0.125,1,0,0,0,0,0,0,0,0,0,0,1,0,0
45,1,52,0.41414141414141414,0.45454545454545453,0.5,0.04285714285714286,0.9206349206349206,0.37735849056603776,0.4117647058823529,0.1951219512195122,1,0,0,0,0,0,0,0,0,0,0,0,1,0
46,1,57,0.4224137931034483,0.25,0.5,0.0273972602739726,0.8690476190476191,0.42105263157894735,0.5531914893617021,0.13636363636363635,1,0,0,0,0,0,0,0,0,0,0,0,0,1
47,1,59,0.4444444444444444,0.4666666666666667,0.631578947368421,0.02857142857142857,0.8333333333333334,0.4146341463414634,0.4807692307692308,0.14516129032258066,1,0,0,0,0,0,0,0,0,0,0,0,0,1
