,결과,득점_득점,공격종합성공률,후위성공률,퀵오픈성공률,서브성공률,디그성공률,세트성공률,리시브성공률,블로킹성공률,팀명_KB손해보험,팀명_OK금융그룹,팀명_대한항공,팀명_삼성화재,팀명_우리카드,팀명_한국전력,팀명_현대캐피탈,상대팀_KB손해보험,상대팀_OK금융그룹,상대팀_대한항공,상대팀_삼성화재,상대팀_우리카드,상대팀_한국전력,상대팀_현대캐피탈
0,1,76,0.5258620689655172,0.38235294117647056,0.7142857142857143,0.0970873786407767,0.8043478260869565,0.5178571428571429,0.4819277108433735,0.10204081632653061,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,50,0.5238095238095238,0.47058823529411764,0.5,0.11428571428571428,0.8837209302325582,0.4794520547945205,0.45454545454545453,0.24324324324324326,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,59,0.4380952380952381,0.4583333333333333,0.5172413793103449,0.075,0.8095238095238095,0.41379310344827586,0.49333333333333335,0.109375,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1,48,0.4805194805194805,0.5294117647058824,0.7333333333333333,0.12244897959183673,0.7297297297297297,0.49295774647887325,0.3404255319148936,0.20833333333333334,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4,0,81,0.5384615384615384,0.6206896551724138,0.46875,0.07407407407407407,0.8,0.48623853211009177,0.5102040816326531,0.17543859649122806,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,1,72,0.5181818181818182,0.625,0.6,0.06666666666666667,0.8958333333333334,0.5,0.5633802816901409,0.20930232558139536,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,78,0.48214285714285715,0.36666666666666664,0.7037037037037037,0.1346153846153846,0.7407407407407407,0.45132743362831856,0.4482758620689655,0.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
7,1,65,0.5108695652173914,0.48148148148148145,0.6,0.07291666666666667,0.88,0.45098039215686275,0.4925373134328358,0.23404255319148937,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8,0,75,0.4883720930232558,0.42857142857142855,0.5833333333333334,0.020202020202020204,0.7352941176470589,0.4740740740740741,0.2903225806451613,0.20408163265306123,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9,1,77,0.5321100917431193,0.5384615384615384,0.5833333333333334,0.06796116504854369,0.6875,0.5047619047619047,0.5795454545454546,0.22641509433962265,1,0,0,0,0,0,0,0,0,0,1,0,0,0
10,0,56,0.5119047619047619,0.5555555555555556,0.5833333333333334,0.07042253521126761,0.6521739130434783,0.45652173913043476,0.4084507042253521,0.1702127659574468,1,0,0,0,0,0,0,0,0,0,0,0,1,0
11,0,35,0.5294117647058824,0.42857142857142855,0.5555555555555556,0.11627906976744186,0.782608695652174,0.47368421052631576,0.3409090909090909,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,1,70,0.6,0.7647058823529411,0.5666666666666667,0.06060606060606061,0.7619047619047619,0.5666666666666667,0.3684210526315789,0.22727272727272727,1,0,0,0,0,0,0,0,1,0,0,0,0,0
13,1,59,0.5789473684210527,0.6470588235294118,0.5454545454545454,0.18181818181818182,0.7941176470588235,0.6666666666666666,0.48148148148148145,0.30434782608695654,1,0,0,0,0,0,0,0,0,0,0,1,0,0
14,0,75,0.5471698113207547,0.6,0.6666666666666666,0.06818181818181818,0.6382978723404256,0.48717948717948717,0.4,0.2558139534883721,1,0,0,0,0,0,0,0,0,1,0,0,0,0
15,0,41,0.4305555555555556,0.6,0.48148148148148145,0.058823529411764705,0.6774193548387096,0.4057971014492754,0.4583333333333333,0.16216216216216217,1,0,0,0,0,0,0,0,0,0,1,0,0,0
16,1,75,0.5087719298245614,0.5333333333333333,0.5357142857142857,0.0851063829787234,0.7931034482758621,0.47058823529411764,0.35294117647058826,0.15789473684210525,1,0,0,0,0,0,0,0,0,0,0,0,1,0
17,0,70,0.4298245614035088,0.5,0.39285714285714285,0.1188118811881188,0.76,0.4107142857142857,0.4318181818181818,0.1875,1,0,0,0,0,0,0,0,0,0,0,0,0,1
18,0,70,0.4811320754716981,0.6363636363636364,0.5666666666666667,0.1,0.8222222222222222,0.45871559633027525,0.5232558139534884,0.18518518518518517,1,0,0,0,0,0,0,0,1,0,0,0,0,0
